Dataset,Method,Status,Accuracy,Precision,Recall,Macro_F1,Micro_F1,NMI,ARI
tweet,Naive KMeans,Success,0.4419422941590429,0.40521084561252807,0.394865274442307,0.3875085257530738,0.4419422941590429,0.12986533024498248,0.09805312009819696
clinc,Naive KMeans,Success,0.7846666666666666,0.7767082236593078,0.7846666666666666,0.7629959868327275,0.7846666666666666,0.9246513129439106,0.74248540332044
clinc,Naive KMeans,Success,0.7846666666666666,0.7767082236593078,0.7846666666666666,0.7629959868327275,0.7846666666666666,0.9246513129439106,0.74248540332044
tweet,Naive KMeans,Success,0.4419422941590429,0.40521084561252807,0.394865274442307,0.3875085257530738,0.4419422941590429,0.12986533024498248,0.09805312009819696,[3 2 3 ... 0 0 1]
tweet,LLM Correction,Success,0.4419422941590429,0.40521084561252807,0.394865274442307,0.3875085257530738,0.4419422941590429,0.12986533024498248,0.09805312009819696,[3 2 3 ... 0 0 1]
tweet,Naive KMeans,Success,0.4419422941590429,0.40521084561252807,0.394865274442307,0.3875085257530738,0.4419422941590429,0.12986533024498248,0.09805312009819696
tweet,Pairwise Constraints,Success,0.47994370161857847,0.4289102703486265,0.40219902308117783,0.3796725126040802,0.47994370161857847,0.09635845982812606,0.08296069093530482
tweet,LLM Correction,Success,0.4419422941590429,0.40521084561252807,0.394865274442307,0.3875085257530738,0.4419422941590429,0.12986533024498248,0.09805312009819696
tweet,Pairwise Constraints,Success,0.47994370161857847,0.4148827135509156,0.4012417154476991,0.3796878823895079,0.47994370161857847,0.09776075163672401,0.08482932222984253
tweet,Pairwise Constraints,Success,0.41097818437719913,0.4242155070067609,0.451916875755813,0.40126598330190444,0.41097818437719913,0.09765266961585613,0.0735278699765242
clinc,Pairwise Constraints,Success,0.6728888888888889,0.6732135393030366,0.6728888888888889,0.6354087567811598,0.6728888888888889,0.9010584776386137,0.6221084502890356
bank77,LLM Correction,Success,0.6285714285714286,0.6371187675607424,0.6285714285714286,0.6066797182347632,0.6285714285714286,0.8101728053398303,0.5291707829589005
bank77,LLM Correction,Success,0.6285714285714286,0.6370066742645331,0.6285714285714286,0.6065939594010548,0.6285714285714286,0.8102128259366108,0.5291055015253953
tweet,LLM Correction,Success,0.4433497536945813,0.40614546512662136,0.3957613317899772,0.3886268094328008,0.4433497536945813,0.1305960798531137,0.09912235062398747
tweet,Naive KMeans,Success,0.4616574405731032,0.46343992967649766,0.5092874619736273,0.46596618356646036,0.4616574405731032,0.10660761113264412,0.08147860758573938
tweet,Naive KMeans,Success,0.5866666666666667,0.5778290139050394,0.5866666666666667,0.5798736077617529,0.5866666666666667,0.1641141542590953,0.1843200371995929
tweet,Keyphrase Expansion - concatenated,Success,0.5356666666666666,0.5252891931054678,0.5356666666666666,0.5285566936764097,0.5356666666666666,0.21161543806616614,0.21452602851760486
tweet,Keyphrase Expansion - average,Success,0.4826666666666667,0.469340487286985,0.48266666666666663,0.47369644071979655,0.4826666666666667,0.09496027343298162,0.10376985460425782
tweet,Keyphrase Expansion - weighted_0.1,Success,0.3596666666666667,0.35904845200838986,0.35966666666666675,0.3574366608055473,0.3596666666666667,0.0018360273110460377,0.0014859758658321807
tweet,Keyphrase Expansion - weighted_0.2,Success,0.38033333333333336,0.37945151108517444,0.38033333333333336,0.37807191564759374,0.38033333333333336,0.005048364909657337,0.005217319277209674
tweet,Keyphrase Expansion - weighted_0.3,Success,0.4086666666666667,0.40729381258199276,0.4086666666666667,0.4069049598133767,0.4086666666666667,0.012607937211655706,0.014018083581799864
tweet,Keyphrase Expansion - weighted_0.4,Success,0.426,0.42505815626708293,0.426,0.4239936482664211,0.426,0.04171207171805379,0.04643123171324782
tweet,Keyphrase Expansion - weighted_0.5,Success,0.4826666666666667,0.469340487286985,0.48266666666666663,0.47369644071979655,0.4826666666666667,0.09496027343298162,0.10376985460425782
tweet,Keyphrase Expansion - weighted_0.6,Success,0.612,0.6052702463228778,0.612,0.6070247522976221,0.612,0.1861749726969457,0.21008517331556079
tweet,Keyphrase Expansion - weighted_0.7,Success,0.6216666666666667,0.6127207040001922,0.6216666666666666,0.613986393028441,0.6216666666666667,0.2033366868058684,0.22880390647214513
