document_index,document_text,generated_keyphrases
0,tell me time of alarm you set,"alarm time inquiry, set alarm details, alarm clock setting, time of scheduled alarm, alarm configuration information, alarm reminder request, device alarm settings"
1,list all of my alarms,"Alarm listing, Alarm management, Alarm configuration, Alarm notifications, Device alarms, Alarm settings, User alarms"
2,alarm settings,"alarm settings, alarm configuration, notification preferences, alert customization, device alarm options, reminder setup, alert notification management"
3,what alarms are set for today,"alarm settings, daily alarms, scheduled alarms, today's alarm configuration, alarm reminders"
4,please see see for me the alarms that you have set sunday morning,"alarm settings, Sunday morning alarms, schedule reminders, alarm configuration, time management, personal reminders, alarm notifications"
5,tell me when the next alarms are for,"alarm schedule, alarm notifications, next alarm time, alarm management, reminder alerts, device alarm settings, schedule notifications"
6,please tell me what alarms are on,"alarm status inquiry, current alarms, security system alerts, system notification request, alarm system status, security alerts information, alarm activation status"
7,please list all my alarms,"Alarm listing, User alarm management, Retrieve alarms, Alarm configuration, Alarm notifications, Device alarm settings, Alarm overview"
8,what alarms are set right now,"alarm settings, current alarms, active alarms, alarm configuration, scheduled alarms, alarm status, alarm management"
9,check whether i have set any alarms for tomorrow morning,"alarm setting verification, morning alarm check, schedule confirmation, alarm configuration, reminder setup, alarm status review, tomorrow morning alert"
10,tell me about my alarms,"Alarm settings, User alarms, Alarm management, Notification alerts, Reminder configurations, Personalized alarms, Alarm functionalities"
11,do i have any alarms set,"alarm settings, scheduled alarms, device notifications, reminder configuration, alarm status inquiry, alarm management, user's alarm setup"
12,is there an alarm at four am,"alarm at four am, early morning alarm, scheduled alarm time, alarm notification, time-specific alert, wake-up alarm, morning alarm setting"
13,show me my alarms,"alarm management, user alarm retrieval, alarm notifications, personal alarm settings, device alarm system, alarm configuration, alarm alert overview"
14,what alarm time had you set,"alarm time setting, alarm clock configuration, scheduled alarm, alarm time inquiry, device alarm settings, time for alarm activation, alarm setup question"
15,can you tell me what alarms i have set,"alarm settings, scheduled alarms, alarm configuration, user's alarms, alarm management, device notifications, reminder setup"
16,please let me know the morning alarm time kept for weekends,"alarm time for weekends, morning alarm schedule, weekend wake-up time, alarm setting on weekends, alarm clock preferences, weekend morning routine, alarm time customization"
17,what time is the alarm set for tomorrow,"alarm time, schedule alarm, set alarm, tomorrow's alarm, alarm clock setting, time reminder, alarm configuration"
18,may i know the about alarm you set,"alarm settings inquiry, asking about alarm details, alarm configuration information, user query on alarm setup, alarm notification preferences, alarm feature explanation, device alarm customization"
19,disable the alarm which is set at nine thirty pm,"disable alarm, alarm at 9:30 pm, set alarm, alarm control, time-specific alarm, alarm management, device alert settings"
20,delete scheduled alarm,"Alarm management, Scheduled alarm deletion, Device alarm settings, Alarm customization, Alarm notification control, Alarm scheduling features, User alarm preferences"
21,turn off my first alarm,"alarm management, device control, wake-up routine, alarm deactivation, user instructions, sleep interruption, alarm settings"
22,please cancel all alarms for tomorrow,"cancel alarms, alarm management, schedule modification, reminder cancellation, alarm settings adjustment, future alarm removal, notification suppression"
23,please delete the wednesday evening alarm,"alarm deletion, Wednesday evening alarm, reminder management, alarm settings modification, schedule adjustment, alarm removal request, time-specific alarm control"
24,please delete my morning alarm,"alarm deletion, morning alarm removal, user request to disable alarm, alarm clock settings, personal alarm management, device alarm configuration, alarm deactivation"
25,remove all of my alarms,"alarm removal, disable alarms, turn off alarms, alarm management, device settings, user preferences, alarm deactivation"
26,cancel alarm,"alarm cancellation, disable alarm, stop alarm, turn off alarm, alarm management, alarm control, alert deactivation"
27,delete the alarm i just set,"delete alarm, remove set alarm, cancel alarm, alarm management, user command to delete alarm, alarm control, alarm deletion"
28,could you please remove the set of alarms between eight and nine,"alarm removal request, time-specific alarm adjustment, alarm management, schedule modification, user request for alarm change, alarm system control, time interval adjustment"
29,please turn off the alarm,"alarm deactivation, turn off alarm, disable alarm, alarm control, security system management, device alert handling, user command for alarm"
