pair_indices,doc1_full_text,doc2_full_text,full_prompt,raw_llm_response,constraint_type,constraint
"(260, 263)",perfect response to command.,yeah wonderful response to command.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: perfect response to command.
Snippet 2: yeah wonderful response to command.
",YES,Must-Link,"('MUST', (260, 263))"
"(599, 817)",remove the list of apps which started with letter a,how old is emma watson newest boyfriend,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: remove the list of apps which started with letter a
Snippet 2: how old is emma watson newest boyfriend
",NO,Cannot-Link,"('CANNOT', (599, 817))"
"(256, 257)",yeah exact response to the command.,yeah perfect response to command.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: yeah exact response to the command.
Snippet 2: yeah perfect response to command.
",YES,Must-Link,"('MUST', (256, 257))"
"(533, 534)",raise all the lights on,raise the lights,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: raise all the lights on
Snippet 2: raise the lights
",YES,Must-Link,"('MUST', (533, 534))"
"(432, 434)",say one more time again please.,please say it once again.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: say one more time again please.
Snippet 2: please say it once again.
",YES,Must-Link,"('MUST', (432, 434))"
"(0, 14)",tell me time of alarm you set,what alarm time had you set,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: tell me time of alarm you set
Snippet 2: what alarm time had you set
",YES,Must-Link,"('MUST', (0, 14))"
"(803, 993)",define flabbergasted,what is the train schedule to denver,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define flabbergasted
Snippet 2: what is the train schedule to denver
",NO,Cannot-Link,"('CANNOT', (803, 993))"
"(58, 817)",mute sound from speakers,how old is emma watson newest boyfriend,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: mute sound from speakers
Snippet 2: how old is emma watson newest boyfriend
",NO,Cannot-Link,"('CANNOT', (58, 817))"
"(306, 308)",would you please confirm the instruction.,will you check and confirm the instruction please.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: would you please confirm the instruction.
Snippet 2: will you check and confirm the instruction please.
",YES,Must-Link,"('MUST', (306, 308))"
"(558, 853)",add these documents to the things i need to travel with,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: add these documents to the things i need to travel with
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (558, 853))"
"(3, 8)",what alarms are set for today,what alarms are set right now,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what alarms are set for today
Snippet 2: what alarms are set right now
",YES,Must-Link,"('MUST', (3, 8))"
"(805, 845)",define rumplestiltskin,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define rumplestiltskin
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (805, 845))"
