document_index,document_text,generated_keyphrases
0,Darth says to Obi-Wan,"Darth Vader, Obi-Wan Kenobi, Star Wars characters, dialogue between Darth and Obi-Wan, Star Wars universe, fictional characters, sci-fi franchise"
1,Darth Vader was born Anakin Skywalker,"Darth Vader, Anakin Skywalker, Star Wars character, Sith Lord, Jedi Knight, Galactic Empire, Star Wars universe"
2,Darth Vader began his life as Anakin Skywalker,"Darth Vader, Anakin Skywalker, Star Wars character, Sith Lord, Jedi Knight, Star Wars universe, character transformation"
3,Darth Vader was once known as Anakin Skywalker,"Darth Vader, Anakin Skywalker, Star Wars character, Sith Lord, Jedi Knight, Star Wars universe, identity transformation"
4,Darth Vader calls Microsoft,"Darth Vader, Microsoft, call or communication, fictional character, technology company, Star Wars universe, interactions with corporations"
5,Vader was once Anakin Skywalker,"Vader, Anakin Skywalker, Star Wars character, Sith Lord, Jedi Knight, Dark Side, Anakin's transformation"
6,Anakin becomes Darth Vader,"Anakin Skywalker, Darth Vader, Star Wars character, Jedi Knight, Sith Lord, Dark Side of the Force, Star Wars"
7,Anakin turned to Leia,"Anakin Skywalker, Leia Organa, Star Wars characters, Jedi and Rebel alliances, Force-sensitive individuals, Sith and Jedi roles, Star Wars universe"
8,Anakin is now Darth Vader,"Anakin Skywalker, Darth Vader, Star Wars character, Sith Lord, Jedi to Sith transition, Star Wars universe, Dark side of the Force"
9,Luke stood next to Leia,"Luke, Leia, Star Wars characters, siblings, Jedi, Rebellion, Galactic universe"
10,Anikin eventually becomes Darth Vader,"Anikin, Darth Vader, Star Wars character, Star Wars franchise, character transformation, villain identity, Jedi to Sith"
11,George Gershwin was born in Brooklyn,"George Gershwin, Brooklyn, American composer, Music history, Birthplace of Gershwin, 20th-century musicians, American cultural figures"
12,George Gershwin grew up in New York City,"George Gershwin, New York City, American composer, 20th-century music, urban upbringing, musical influence, cultural background"
13,Gershwin is strongly reminiscent of Mozart,"Gershwin, Mozart, musical influence, classical composers, reminiscence of Mozart, American composer, European classical tradition"
14,Gershwin was born in Brooklyn,"Gershwin, Brooklyn, birthplace, American composer, music history, early life, New York"
15,George returned to California,"George, California, return, personal movement, geographical location, individual travel, residence change"
16,Port Au Prince is the capital of Haiti,"Port Au Prince, capital of Haiti, Haiti, geographic location, urban center, Caribbean nation, administrative capital"
17,Port-au-Prince is not all of Haiti,"Port-au-Prince, Haiti, geographical distinction, capital city, national identity, urban area, territorial scope"
18,Gemayel maintained close ties with Israel,"Gemayel, close ties with Israel, Lebanese political figures, Israel-Lebanon relations, regional alliances, Middle Eastern politics, political affiliations"
19,Gemayel was the son of Pierre Gemayel,"Gemayel family, Pierre Gemayel, son of Pierre Gemayel, Lebanese political families, Genealogy of Gemayel, Political lineage, Family relationships in Lebanese politics"
20,Bashir Gemayel was born in Beirut,"Bashir Gemayel, Beirut, Lebanese political figures, Lebanese history, Political leadership in Lebanon, Lebanese independence, Middle Eastern politics"
21,Bashir Gemayel was elected president of Lebanon,"Bashir Gemayel, President of Lebanon, Lebanese politics, Lebanese presidency, Lebanese political leaders, Lebanese elections, Middle Eastern political figures"
22,Michael Kelly was born in Washington,"Michael Kelly, Washington, birth, personal background, biographical information, individual identity, place of birth"
23,Kelly grew up in Washington,"Kelly, Washington, personal background, geographical origin, individual identity, place of upbringing, biographical information"
24,Madinah was formerly known as Yathrib,"Madinah, Yathrib, historical name, city of Madinah, Islamic history, place name change, Arabian Peninsula"
25,Medina is a city in Saudi Arabia,"Medina, Saudi Arabia, city, urban center, religious significance, historical site, Middle East"
26,Medina was different from Mecca,"Medina, Mecca, difference between Medina and Mecca, Islamic cities, religious significance of Medina, religious significance of Mecca, geographical and cultural distinctions"
27,Yathrib had been founded by Jews,"Yathrib, Jewish founders, Historical founding, Jewish community, Ancient city, Pre-Islamic Arabia, City of Yathrib"
