pair_indices,doc1_full_text,doc2_full_text,full_prompt,raw_llm_response,constraint_type,constraint
"(44, 1357)",@user Marine Le Pen should win France,Go Marine Le Pen!👇👍,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user Marine Le Pen should win France
Snippet 2: Go Marine Le Pen!👇👍
",YES,Must-Link,"('MUST', (44, 1357))"
"(119, 1191)","It was a law placed to overturn the Denton Fracking Ban (tx), that didn't let fracking around schools or where people live",With whom u can ralate to with this emoji 💪?? #3YearsofMidnightMemories #MPN #OneDirection AMÉM LIAM PAYNE,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: It was a law placed to overturn the Denton Fracking Ban (tx), that didn't let fracking around schools or where people live
Snippet 2: With whom u can ralate to with this emoji 💪?? #3YearsofMidnightMemories #MPN #OneDirection AMÉM LIAM PAYNE
",NO,Cannot-Link,"('CANNOT', (119, 1191))"
"(547, 1269)","4. Babette, 3. Miss Patty, 2. Richard, 1. LANE!!! #GilmoreGirlsTop4",@user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: 4. Babette, 3. Miss Patty, 2. Richard, 1. LANE!!! #GilmoreGirlsTop4
Snippet 2: @user @user As Venezuelans you should be ashamed of yourselves! As if Chavez y Maduro's damage didn't have Bolivar turning
",NO,Cannot-Link,"('CANNOT', (547, 1269))"
"(44, 1421)",@user Marine Le Pen should win France,@user @user France. Be very afraid of Marine Le Pen,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user Marine Le Pen should win France
Snippet 2: @user @user France. Be very afraid of Marine Le Pen
",YES,Must-Link,"('MUST', (44, 1421))"
"(95, 1282)","Microsoft—yes, Microsoft—joins the Linux Foundation",#TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Microsoft—yes, Microsoft—joins the Linux Foundation
Snippet 2: #TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:
",YES,Must-Link,"('MUST', (95, 1282))"
"(169, 734)",i made cauliflower steaks and they were great why is vegetarianism so good,#Libya #Libyen FM heads to Libya; reports say embassy may reopen - Kathimerini  #Libia #Libye,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i made cauliflower steaks and they were great why is vegetarianism so good
Snippet 2: #Libya #Libyen FM heads to Libya; reports say embassy may reopen - Kathimerini  #Libia #Libye
",NO,Cannot-Link,"('CANNOT', (169, 734))"
"(604, 1282)",Well that's something I never expected 2 read!Microsoft's #Linux love affair leads it to join The Linux Foundation,#TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Well that's something I never expected 2 read!Microsoft's #Linux love affair leads it to join The Linux Foundation
Snippet 2: #TheLinuxFoundation Microsoft's open source love fest continues as it joins Linux Foundation. Read more:
",YES,Must-Link,"('MUST', (604, 1282))"
"(420, 639)",#Spurs #GoSpursGo 1997-98 #Topps ROOKIE of TIM DUNCAN #115 San Antonio Spurs RC HOF #TimDuncan #NBA,#Spurs #GoSpursGo 1997-98 TIM DUNCAN Rookie #Cards (2) Upper Deck and Skybox Premium Future HOFer #TimDuncan #NBA,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: #Spurs #GoSpursGo 1997-98 #Topps ROOKIE of TIM DUNCAN #115 San Antonio Spurs RC HOF #TimDuncan #NBA
Snippet 2: #Spurs #GoSpursGo 1997-98 TIM DUNCAN Rookie #Cards (2) Upper Deck and Skybox Premium Future HOFer #TimDuncan #NBA
",YES,Must-Link,"('MUST', (420, 639))"
"(475, 581)",@user wowzers!! superb prize!! 😍 #hatchimals #WIN #BlackFriday,@user oh my😱 yes please #BlackFriday #Hatchimals,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: @user wowzers!! superb prize!! 😍 #hatchimals #WIN #BlackFriday
Snippet 2: @user oh my😱 yes please #BlackFriday #Hatchimals
",YES,Must-Link,"('MUST', (475, 581))"
"(97, 776)",Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for,guess whom @user is obsessed with right now😊🙏🏼❤️️#AshleyGraham #plussizefashion,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: Minimum wage went up in co Outside of people making minimum wage where I work the owner was only planning in giving ten cent raises for
Snippet 2: guess whom @user is obsessed with right now😊🙏🏼❤️️#AshleyGraham #plussizefashion
",NO,Cannot-Link,"('CANNOT', (97, 776))"
