document_index,document_text,generated_keyphrases
0,"Thus , on 2 February 1951 , the United States Air Force issued a General Operating Requirement -LRB- GOR -RRB- for a new transport to Boeing , Douglas , Fairchild , Lockheed , Martin , Chase Aircraft , North American , Northrop , and Airlifts Inc. .","United States Air Force, General Operating Requirement (GOR), new transport aircraft, Boeing, Douglas, Fairchild, Lockheed Martin, North American, Northrop, Airlifts Inc."
1,"Example experimental systems include MIRACL and the Tactical High Energy Laser Throughout the 2000s , the United States Air Force worked on the Boeing YAL-1 , an airborne laser mounted in a Boeing 747 .","MIRACL, Tactical High Energy Laser, United States Air Force, Boeing YAL-1, airborne laser system, Boeing 747, experimental laser systems"
2,"Example experimental systems include MIRACL and the Tactical High Energy Laser Throughout the 2000s , the United States Air Force worked on the Boeing YAL-1 , an airborne laser mounted in a Boeing 747 .","MIRACL, Tactical High Energy Laser, United States Air Force, Boeing YAL-1, airborne laser system, Boeing 747, experimental laser systems"
3,"However , the United States Air Force continues to use sailplanes at the United States Air Force Academy to train cadets in the fundamentals of flight .","United States Air Force, sailplanes, United States Air Force Academy, cadet training, fundamentals of flight, military aviation training, aircraft used in training"
4,"On July 21 , 2001 , he was enshrined at Dayton , Ohio , in the National Aviation Hall of Fame class of 2001 , along with test pilot Joe Engle , United States Air Force flying ace Marion Carl , and USAF ace Robin Olds .","National Aviation Hall of Fame, Dayton Ohio, 2001 enshrinement, test pilot Joe Engle, USAF flying ace Marion Carl, USAF ace Robin Olds, aviation honors"
5,"It is the home of the United States Air Force 's 121st Air Refueling Wing -LRB- 121 ARW -RRB- , which serves as the host wing and is an Air National Guard -LRB- ANG -RRB- unit operationally-gained by the Air Mobility Command -LRB- AMC -RRB- .","United States Air Force, 121st Air Refueling Wing, Air National Guard, Air Mobility Command, host wing, ANG unit, air refueling"
6,The United States Air Force and Marines are currently using this type of Active Denial System .,"United States Air Force, United States Marines, Active Denial System, military technology, defense systems, law enforcement tools, non-lethal weapons"
7,"It is located west of Zaragoza , west of Barcelona , and northeast of Madrid During the Cold War , the United States Air Force used the facility as Zaragoza Air Base .","Zaragoza, Barcelona, Madrid, Cold War, United States Air Force, Zaragoza Air Base, geographical locations"
8,"They fall under 1st Marine Aircraft Wing and III Marine Expeditionary Force Marine Wing Liaison Kadena provides comprehensive operational and logistical support to local and deployed U.S. Marine Corps and United States Navy squadrons operating at Kadena Air Base -LRB- KAB -RRB- Okinawa , Japan , and facilitates essential liaison with the United States Air Force 's 18th Wing","1st Marine Aircraft Wing, III Marine Expeditionary Force, Kadena Air Base, U.S. Marine Corps, U.S. Navy squadrons, United States Air Force 18th Wing, military liaison and support"
9,"The United States Air Force carried out 3,381 tactical air strikes by fighter bombers .","United States Air Force, tactical air strikes, fighter bombers, military operations, air combat missions, U.S. military aviation, aerial warfare"
10,"CJSOTF -- N was composed of the U.S. Army 's Special Forces units , 173d Airborne Brigade , 10th Mountain Division , Alpha Company 9th PSYOP Battalion , elements and the 96th and 404th Civil Affairs battalions ; the U.S. Air Force 's 352d Special Operations Group ; the U.S. Marine Corps 's 26th Marine Expeditionary Unit ; and indigenous Kurdish Peshmerga .","CJSOTF, U.S. Army Special Forces, 173d Airborne Brigade, 10th Mountain Division, PSYOP Battalion, Civil Affairs battalions, Kurdish Peshmerga"
11,"The United States Air Force , NRO and CIA used them to launch SIGINT satellites .","United States Air Force, NRO, CIA, SIGINT satellites, intelligence agencies, satellite launch operations, signals intelligence"
12,"The SS Wing or Maroon Berets are an elite , special operations force based on the United States Air Force 's Special Tactics Squadrons and the United States Army Rangers .","SS Wing, Maroon Berets, special operations force, United States Air Force, Special Tactics Squadrons, United States Army Rangers, elite military units"
13,The United States Air Force 's 147th Reconnaissance Wing is an Air National Guard -LRB- ANG -RRB- unit operationally-gained by the Air Combat Command -LRB- ACC -RRB- .,"United States Air Force, 147th Reconnaissance Wing, Air National Guard (ANG), Air Combat Command (ACC), military reconnaissance units, ANG operational gain, air force organizational structure"
14,"The Woodland Pattern , also known unofficially as M81 , was the default camouflage pattern issued to United States soldiers , Marines , airmen , and sailors from 1981 , with the issue of the Battle Dress Uniform , until its replacement around 2006 .","Woodland Pattern, M81 camouflage, United States military uniforms, Battle Dress Uniform, military camouflage patterns, 1981–2006 military gear, military uniform history"
15,"Additionally , both the Royal Canadian Air Force and United States Air Force built and operated a number of radar stations along coastal Labrador as part of the Pinetree Line , Mid-Canada Line and DEW Line systems .","Royal Canadian Air Force, United States Air Force, radar stations, coastal Labrador, Pinetree Line, Mid-Canada Line, DEW Line systems"
16,The United States Air Force sent ambulances and fire apparatus with firefighters and medical personnel from its base at the airport in response to a request for assistance .,"United States Air Force, ambulances and fire apparatus, firefighters and medical personnel, airport base, assistance request, emergency response, military emergency services"
17,"In response , the United States Air Force and U.S. Navy launched Operation Linebacker , a major bombing offensive against North Vietnam .","United States Air Force, U.S. Navy, Operation Linebacker, bombing offensive, North Vietnam, military operation, Vietnam War"
18,"The US Army and the US Air Force operated 4 variations of the 8x8 model under the designations M1001 , M1002 , M1013 and M1014 Introduced as the `` mil gl '' -LRB- for '' `` mil `` itarisiert `` g `` e `` l '' ändegängig '' - military , cross country mobile -RRB- , the MAN Kat1 series is used by all branches of the `` Bundeswehr '' .","US Army, US Air Force, 8x8 vehicle models, M1001, M1002, M1013, M1014, mil gl (military cross country mobile), MAN Kat1 series, Bundeswehr"
19,"The US Army and the US Air Force operated 4 variations of the 8x8 model under the designations M1001 , M1002 , M1013 and M1014 Introduced as the `` mil gl '' -LRB- for '' `` mil `` itarisiert `` g `` e `` l '' ändegängig '' - military , cross country mobile -RRB- , the MAN Kat1 series is used by all branches of the `` Bundeswehr '' .","US Army, US Air Force, 8x8 vehicle models, M1001, M1002, M1013, M1014, mil gl (military cross country mobile), MAN Kat1 series, Bundeswehr"
20,"Large scale Ready Reaction Force used in peace time such as with the use of US Army 's Paratroopers -LRB- 82nd Airborne Division and the 173rd Airborne Brigade Combat Team -RRB- , US Army 's Airborne Rangers of the 75th Ranger Regiment , United States Marine Corps/USMC 's Force Reconnaissance units , US Navy SEALs and United States Army Special Forces and US Air Force 's Special Tactics Squadrons , the time frame is sometimes hours to days depending on the geographical location and scale of operation .","Ready Reaction Force, US Army Paratroopers, 82nd Airborne Division, 173rd Airborne Brigade Combat Team, US Army Airborne Rangers, Force Reconnaissance units, US Navy SEALs"
21,"This is a complete list of United States Soldiers , Sailors , Airmen , and Marines who were awarded the Medal of Honor , Distinguished Flying Cross , Distinguished Service Cross , or Navy Cross in the Iraq War in Anbar Province .","United States military personnel, Medal of Honor recipients, Iraq War awards, Anbar Province military honors, Distinguished Flying Cross, Navy Cross recipients, Military awards and honors"
22,"This is an incomplete list of United States Soldiers , Sailors , Airmen , and Marines who were awarded the Silver Star in the Iraq War in Anbar Province .","United States military personnel, Silver Star awards, Iraq War, Anbar Province, Soldiers, Sailors, Airmen, Marines, military honors, combat recognition"
23,"The United States Air Force at Itazuke Air Base during the Korean War has a visitor : Jane Carter -LRB- Coleen Gray -RRB- , a female journalist who wishes to do a feature story on the wives of the American pilots .","United States Air Force, Itazuke Air Base, Korean War, Jane Carter, Coleen Gray, female journalist, wives of American pilots"
24,He was ordained as a rabbi in 1955 and entered the United States Air Force to serve as a military chaplain .,"rabbi, 1955 ordination, United States Air Force, military chaplain, religious leadership, military service, clerical role"
25,The SIGADs beginning with USA were operated by the United States Air Force 's United States Air Force Security Service -LRB- USAFSS -RRB- .,"SIGADs, United States Air Force, USAF Security Service, USA, air force intelligence operations, security service units, USAF intelligence agencies"
26,Other contemporary critics also charged that the United States Air Force was perpetrating a cover-up with its Project Blue Book .,"United States Air Force, Project Blue Book, contemporary critics, cover-up, U.S. military investigations, U.S. Air Force secrecy, U.S. government transparency"
27,"In the early to mid-20th century , the area benefited from considerable federal investment and development , from the Tennessee Valley Authority to the establishment of Camp Forrest , an infantry training center and later POW camp , and Arnold Engineering Development Center -LRB- AEDC -RRB- , where the Air Force and NASA did early wind tunnel testing .","Tennessee Valley Authority, Camp Forrest, POW camp, Arnold Engineering Development Center, AEDC, Air Force, NASA, wind tunnel testing, federal investment, mid-20th century development"
28,"Area air defence , the air defence of a specific area or location , -LRB- as opposed to point defence -RRB- , have historically been operated by both armies -LRB- Anti-Aircraft Command in the British Army , for instance -RRB- and Air Forces -LRB- the United States Air Force 's CIM-10 Bomarc -RRB- .","Area air defence, point defence, Anti-Aircraft Command, British Army, United States Air Force, CIM-10 Bomarc"
29,"Misawa is the location of a large military base , Misawa Air Base , which is under joint operation of the United States Air Force 's 35th Fighter Wing , and Japan Air Self-Defense Force 's 3rd Fighter Wing .","Misawa Air Base, Misawa military installation, United States Air Force 35th Fighter Wing, Japan Air Self-Defense Force 3rd Fighter Wing, joint military operation, U.S.-Japan defense cooperation, air force bases in Japan"
30,The United States Air Force 's 35th Fighter Wing -LRB- 35 FW -RRB- is the host unit at Misawa Air Base .,"United States Air Force, 35th Fighter Wing, 35 FW, Misawa Air Base, host unit"
31,-LRB- The United States Air Force leased a small portion of the Airport to support Supreme Headquarters Allied Powers Europe -LRB- SHAPE -RRB- at Rocquencourt -RRB- .,"United States Air Force, Airport lease, Supreme Headquarters Allied Powers Europe (SHAPE), Rocquencourt, military cooperation, airbase support, European military command"
32,"On May 27 , 2010 , NASA and the United States Air Force successfully flew the X-51A Waverider for approximately 200 seconds at Mach 5 , setting a new world record hypersonic airspeed .","NASA, United States Air Force, X-51A Waverider, hypersonic airspeed, Mach 5, world record flight, hypersonic flight technology"
33,The Northrop YF-17 -LRB- nicknamed `` Cobra '' -RRB- was a prototype lightweight fighter aircraft designed for the United States Air Force 's Lightweight Fighter -LRB- LWF -RRB- technology evaluation program .,"Northrop YF-17, Cobra, prototype fighter aircraft, United States Air Force, Lightweight Fighter program, LWF technology evaluation, lightweight fighter design"
34,"The T-2 's performance was between that of the U.S. Air Force 's Cessna T-37 Tweet , and the U.S. Navy 's TA-4J Skyhawk .","T-2 aircraft performance, U.S. Air Force Cessna T-37 Tweet, U.S. Navy TA-4J Skyhawk, military trainer aircraft comparison, performance ranking of training jets, aircraft types and roles, military aviation performance metrics"
35,"It was Boeing 's entrant into the United States Air Force 's Advanced Medium STOL Transport -LRB- AMST -RRB- competition , which aimed to replace the Lockheed C-130 Hercules as the USAF 's standard STOL tactical transport .","Boeing, United States Air Force, Advanced Medium STOL Transport (AMST), Lockheed C-130 Hercules, STOL tactical transport, aircraft competition, military transport aircraft"
36,It was McDonnell Douglas ' entrant into the United States Air Force 's Advanced Medium STOL Transport -LRB- AMST -RRB- competition to replace the Lockheed C-130 Hercules as the USAF 's standard STOL tactical transport .,"McDonnell Douglas, United States Air Force, Advanced Medium STOL Transport (AMST), Lockheed C-130 Hercules, STOL tactical transport, aircraft competition, military transport aircraft"
37,"Later flying as the Northrop YF-17 `` Cobra '' , it competed in the United States Air Force 's Lightweight Fighter -LRB- LWF -RRB- program to produce a smaller and simpler fighter to complement the larger McDonnell Douglas F-15 Eagle ; the YF-17 lost the competition to the YF-16 .","Northrop YF-17 Cobra, Lightweight Fighter program, United States Air Force, McDonnell Douglas F-15 Eagle, YF-16 fighter, fighter aircraft development, aerospace competition"
38,"In response to numerous reports of `` flying saucers '' , the United States Air Force established Project Sign in 1948 to examine sightings of unidentified flying objects .","United States Air Force, Project Sign, flying saucers, unidentified flying objects, 1948, UFO sightings, aerospace research"
39,The retirement of the United States Air Force 's EF-111A Raven made the EA-6B and EA-18G the only tactical aircraft in the U.S. inventory capable of performing electronic attack .,"United States Air Force, EF-111A Raven, EA-6B, EA-18G, tactical aircraft, electronic attack, aircraft inventory"
40,The Air Force evacuated 90 Boeing B-47 Stratojets from Homestead Air Reserve Base .,"Air Force evacuation, Boeing B-47 Stratojets, Homestead Air Reserve Base, military aircraft transfer, airbase evacuation operation, strategic bomber deployment, military logistics"
41,"This reservoir was built under the auspices of the United States Army Corps of Engineers , primarily to provide a large source of cooling water for the U.S. Air Force 's Arnold Engineering Development Center , which has large wind tunnels and other military and scientific research equipment .","United States Army Corps of Engineers, reservoir for cooling water, U.S. Air Force Arnold Engineering Development Center, wind tunnels, military research facilities, scientific research equipment, large-scale water infrastructure"
42,"An aerial armada consisting of United States Air Force -LRB- USAF -RRB- B-52 Stratofortresses , F-4 Phantom IIs , A-37 Dragonflies and US Navy planes from four aircraft carrier wings and some Vietnam Air Force -LRB- VNAF -RRB- fighters , however , were at hand to provide strong and at times crucial air-support .","United States Air Force (USAF), B-52 Stratofortresses, F-4 Phantom II, Vietnam Air Force (VNAF), air support, aircraft carrier wings, Vietnam War military assets"
43,"An aerial armada consisting of United States Air Force -LRB- USAF -RRB- B-52 Stratofortresses , F-4 Phantom IIs , A-37 Dragonflies and US Navy planes from four aircraft carrier wings and some Vietnam Air Force -LRB- VNAF -RRB- fighters , however , were at hand to provide strong and at times crucial air-support .","United States Air Force (USAF), B-52 Stratofortresses, F-4 Phantom II, A-37 Dragonfly, US Navy aircraft carriers, Vietnam Air Force (VNAF) fighters, air support"
44,Kornbluth served in the US Army during World War II -LRB- European ` Theatre ' -RRB- .,"Kornbluth, US Army, World War II, European Theatre, military service, World War II theater, army personnel"
45,"On retirement from the British Colonial Service , Gardner moved to London but then before World War II moved to Highcliffe , east of Bournemouth and near the New Forest on the south coast of England .","British Colonial Service, Gardner, London, Highcliffe, Bournemouth, New Forest, south coast of England"
46,"The squadron has seen combat during World War II , the Korean and Vietnam Wars and has deployed in support of Operation Iraqi Freedom with a final deployment in 2008 to Al Asad Airbase in western Iraq .","military squadron, World War II combat, Korean War, Vietnam War, Operation Iraqi Freedom, Al Asad Airbase, military deployments"
47,"In 1968 , the KSLI , after serving in the Second Boer War , World War I and World War II , was merged with the Somerset and Cornwall Light Infantry , the King 's Own Yorkshire Light Infantry and the Durham Light Infantry to form The Light Infantry .","KSLI, Second Boer War, World War I, World War II, Somerset and Cornwall Light Infantry, King's Own Yorkshire Light Infantry, Durham Light Infantry"
48,"Fawzi al-Qawuqji -LRB- ; 19 January 1890 -- 5 June 1977 -RRB- was a leading Arab nationalist military figure in the interwar period , based in Germany , and allied to Nazi Germany during World War II , who served as the Arab Liberation Army -LRB- ALA -RRB- field commander during the 1948 Palestine War .","Fawzi al-Qawuqji, Arab nationalist military figure, Arab Liberation Army (ALA), 1948 Palestine War, interwar period military leader, alliance with Nazi Germany, based in Germany"
49,"Franz Rademacher -LRB- 20 February 1906 -- 17 March 1973 -RRB- was an official in the Nazi government of the Third Reich during World War II , known for initiating action on the Madagascar Plan .","Franz Rademacher, Nazi government, Third Reich, World War II, Madagascar Plan, Nazi officials, Holocaust policies"
50,"After the Anglo-Soviet invasion of Iran in 1941 , this Persian Corridor became one of the supply routes for war material for the Soviet Union during World War II , -LRB- Railway trend in Iran -RRB- .","Anglo-Soviet invasion of Iran, Persian Corridor, supply route for war material, Soviet Union, World War II, Railway trend in Iran"
51,"The International Trade Mart is an organization promoting international trade and the Port of New Orleans After World War II , New Orleans businessman Clay Shaw returned to New Orleans where he became a founder of the International Trade Mart .","International Trade Mart, Port of New Orleans, Clay Shaw, international trade promotion, post-World War II economic development, New Orleans business community, trade organization founding"
52,"The suburb played host to the American military during World War II , who constructed Camp Columbia in 1942 ; after the war , control of the facility was transferred to the Australian government for use as a migrant reception and training centre .","American military, Camp Columbia, World War II, Australian government, migrant reception and training centre, 1942 military construction, suburb hosting military"
53,"The unit perpetuates the name of the famous 39th Battalion , an infantry battalion that fought during both World War I and World War II , which played a significant part in the Kokoda Track Campaign in 1942 -- 43 , fighting against the Japanese .","39th Battalion, Kokoda Track Campaign, World War I, World War II, Japanese forces, infantry battalion, military history"
54,"He remained on the books at Villa Park throughout World War II winning the Football League North in 1944 , although he did make guest appearances for Northampton Town , Walsall and Sheffield Wednesday during the conflict .","Villa Park, World War II, Football League North, guest appearances, Northampton Town, Walsall, Sheffield Wednesday"
55,"Coinciding with a turbulent period in Basque history -LRB- the Carlist Wars , World War I and World War II , the Spanish Civil War , Spain under Franco -RRB- bertsos were a popular way of reflecting on current issues and events , like in `` Norteko ferrokarrilla '' , on railway .","Basque history, Carlist Wars, World War I, Spanish Civil War, Spain under Franco, bertsos, current issues and events"
56,"Shortly after World War II it became solely a Defence Research Establishment - firstly the Explosives Research and Development Establishment , then the Propellants , Explosives and Rocket Motor Establishment Waltham Abbey ; and finally the Royal Armament Research and Development Establishment Waltham Abbey .","World War II, Defence Research Establishment, Explosives Research and Development Establishment, Propellants Explosives and Rocket Motor Establishment Waltham Abbey, Royal Armament Research and Development Establishment Waltham Abbey, military research organizations, defense technology development"
57,"Shortly after World War II it became solely a Defence Research Establishment - firstly the Explosives Research and Development Establishment , then the Propellants , Explosives and Rocket Motor Establishment Waltham Abbey ; and finally the Royal Armament Research and Development Establishment Waltham Abbey .","World War II, Defence Research Establishment, Explosives Research and Development Establishment, Propellants Explosives and Rocket Motor Establishment Waltham Abbey, Royal Armament Research and Development Establishment Waltham Abbey, military research organizations, defense technology development"
58,Citizen Soldiers : The U.S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany is a non-fiction book about World War II written by Stephen E. Ambrose and published in 1997 .,"Citizen Soldiers, U.S. Army, World War II, Stephen E. Ambrose, Normandy Beaches, Battle of the Bulge, German surrender"
59,In World War II served in North-western Europe from June 1944 to May 1945 .,"World War II, North-western Europe, June 1944, May 1945, military service, European theater, World War II timeline"
60,World War II caused an enormous decrease in manpower and the district 's industry .,"World War II, manpower reduction, industrial decline, district's industry, war impact on economy, military manpower loss, economic consequences of war"
61,"When World War II started he left the film industry and became the head of ENSA , the government-sponsored body responsible for bringing live performances to the armed services .","World War II, ENSA, film industry, live performances, armed services, government-sponsored organization, head of ENSA"
62,"As World War II reached its conclusion in the 1940s matches , petroleum and standard weights and measures also came under the Monopoly Bureau 's authority .","World War II, 1940s, matches, petroleum, standard weights and measures, Monopoly Bureau, authority"
63,"From Germany , where he had worked with the likes of Veit Harlan , he moved to United States when World War II broke out and acted in a number of films , starting with `` Enemy Agent '' -LRB- 1940 -RRB- .","Germany, Veit Harlan, United States, World War II, Enemy Agent (1940), film acting career, migration for wartime"
64,"He also has produced and directed a documentary about English literary society during the period after World War I until World War II , which includes Stephen Spender , Anthony Powell , Harold Acton , James Lees-Milne , Peter Quennell , Christopher Isherwood , and Diana Mosley .","English literary society, post-World War I to World War II, documentary production and direction, notable literary figures, Stephen Spender, Anthony Powell, Diana Mosley"
65,"He also has produced and directed a documentary about English literary society during the period after World War I until World War II , which includes Stephen Spender , Anthony Powell , Harold Acton , James Lees-Milne , Peter Quennell , Christopher Isherwood , and Diana Mosley .","English literary society, post-World War I to World War II, documentary production and direction, notable literary figures, Stephen Spender, Anthony Powell, Diana Mosley"
66,"He also has produced and directed a documentary about English literary society during the period after World War I until World War II , which includes Stephen Spender , Anthony Powell , Harold Acton , James Lees-Milne , Peter Quennell , Christopher Isherwood , and Diana Mosley .","English literary society, post-World War I to World War II, documentary production and direction, notable literary figures, Stephen Spender, Anthony Powell, Diana Mosley"
67,"When World War II ended in 1945 , as a former member of the Women 's Land Army , Gillham was eligible for a grant to go to university ; something her family could n't have afforded in peace-time .","World War II, Women 's Land Army, Gillham, university grant, post-war education funding, family financial constraints, women's wartime roles"
68,The historic 19th century Moy Hall was demolished after World War II having been overcome by dry rot .,"Moy Hall, 19th century architecture, demolition after World War II, dry rot damage, historic buildings, heritage loss, architectural decay"
69,The government used the Hall as a hospital during WW2 .,"government, Hall, hospital, WW2, use of Hall as hospital"
70,"Blue 88 was a blue-colored pill that was a mix of calming drugs , mainly barbiturates such as sodium amytal , used to treat American soldiers in the Second World War who suffered from battle fatigue .","Blue 88, calming drugs, barbiturates, sodium amytal, treatment for battle fatigue, American soldiers in WWII, psychoactive medication"
71,"After the start of World War II , Willson , who had served on Admiral Mayo 's staff with Ernest J. King became the chief of staff to King in his role as Commander in Chief , U.S. Fleet -LRB- COMINCH -RRB- on 30 December 1941 , Willson , taking office the day that King assumed that command .","World War II, Willson, Admiral Mayo, Ernest J. King, Chief of Staff, Commander in Chief, U.S. Fleet, COMINCH"
72,"It was established in 1946 by Jewish soldiers demobilised from the British Army after World War II having served under Frederick Kisch , for whom the village was named .","Jewish soldiers, British Army, World War II, Frederick Kisch, village named after Kisch, 1946 establishment, demobilised soldiers"
73,"Before the end of World War II , Thiessen , a member of the Nationalsozialistische Deutsche Arbeiterpartei , had Communist contacts .","Thiessen, Nationalsozialistische Deutsche Arbeiterpartei, World War II, Communist contacts, Nazi Party"
74,"The Battle of Osuchy -LRB- less often referred to as the Battle at Sopot River -RRB- was one of the largest battles between the Polish resistance and Nazi Germany in occupied Poland during World War II , a part of the Zamość Uprising .","Battle of Osuchy, Sopot River, Polish resistance, Nazi Germany, World War II, Zamość Uprising"
75,"1941 : The heaviest German Luftwaffe raid of World War II , the Cardiff Blitz , occurred ; 156 people were killed .","German Luftwaffe raid, Cardiff Blitz, World War II bombing, civilian casualties, 1941 air raid, German military operations, British city attack"
76,"The objectives of their pact were threefold : Before the end of World War II , Thiessen , a member of the '' Nationalsozialistische Deutsche Arbeiterpartei '' , had Communist contacts .","World War II, Thiessen, Nationalsozialistische Deutsche Arbeiterpartei, Communist contacts, pact objectives"
77,Karl Decker -LRB- 30 November 1897 -- 21 April 1945 -RRB- was a general in the Wehrmacht of Nazi Germany during World War II who committed suicide in the Ruhr Pocket on 21 April 1945 .,"Karl Decker, Wehrmacht, Nazi Germany, World War II, Ruhr Pocket, military general, suicide in 1945"
78,"Before the end of World War II , Thiessen , a member of the '' Nationalsozialistische Deutsche Arbeiterpartei '' , had Communist contacts .","Thiessen, Nationalsozialistische Deutsche Arbeiterpartei, World War II, Communist contacts, Nazi Party member"
79,"During World War I , students from the nearby Southover Manor School in Lewes were housed here , and during World War II , Canadian soldiers were quartered here .","Southover Manor School, Lewes, World War I, World War II, Canadian soldiers, military housing, student accommodation"
80,Friedrich Kirchner -LRB- 26 March 1885 -- 6 April 1960 -RRB- was a German general during World War II who commanded 1st Panzer Division and the LVII Panzer Corps .,"Friedrich Kirchner, German general, World War II, 1st Panzer Division, LVII Panzer Corps, military command, German military leaders"
81,"Pietro Maletti -LRB- 24 May 1880 -- 9 December 1940 -RRB- was an Italian military officer who participated in World War I , the subjugation of Italian North Africa , the Second Italo-Abyssinian War , and World War II .","Pietro Maletti, Italian military officer, World War I, Italian North Africa, Second Italo-Abyssinian War, World War II, Italian military history"
82,"From 1915 to 1918 , Reinhardt also worked as director of the `` Volksbühne '' theatre and after World War I re-opened the `` Großes Schauspielhaus '' -LRB- after World War II renamed into Friedrichstadtpalast -RRB- in 1919 , following its expressionist conversion by Hans Poelzig .","Reinhardt, Volksbühne theatre, Großes Schauspielhaus, Friedrichstadtpalast, World War I, Hans Poelzig, expressionist conversion"
83,"From 1915 to 1918 , Reinhardt also worked as director of the `` Volksbühne '' theatre and after World War I re-opened the `` Großes Schauspielhaus '' -LRB- after World War II renamed into Friedrichstadtpalast -RRB- in 1919 , following its expressionist conversion by Hans Poelzig .","Reinhardt, Volksbühne theatre, Großes Schauspielhaus, Friedrichstadtpalast, World War I, Hans Poelzig, expressionist theatre"
84,Herbert-Ernst Vahl was a high-ranking German SS commander during World War II who commanded the SS Division Das Reich and the 4th SS Polizei Division .,"Herbert-Ernst Vahl, German SS commander, SS Division Das Reich, 4th SS Polizei Division, World War II military leaders, Nazi military hierarchy, SS military divisions"
85,Johannes-Rudolf Mühlenkamp -LRB- 9 October 1910 -- 23 September 1986 -RRB- was a German SS commander during World War II who led SS Division Wiking .,"Johannes-Rudolf Mühlenkamp, German SS commander, World War II, SS Division Wiking, German military leaders, Nazi paramilitary units, 20th-century German military figures"
