pair_indices,doc1_full_text,doc2_full_text,full_prompt,raw_llm_response,constraint_type,constraint
"(536, 537)",Osment was the voice of Sora,Osment also provided the voice for Sora,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Osment was the voice of Sora  
Mention 2: Osment also provided the voice for Sora  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (536, 537))"
"(1446, 1625)",Jesus would go to Jerusalem,Jesus was going to Jerusalem,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Jesus would go to Jerusalem  
Mention 2: Jesus was going to Jerusalem  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (1446, 1625))"
"(1144, 3138)",Kelowna International Airport is serviced by Air Canada,Barry Bonds is worse than Hitler,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Kelowna International Airport is serviced by Air Canada  
Mention 2: Barry Bonds is worse than Hitler  
Answer ONLY with YES or NO.
",NO,Cannot-Link,"('CANNOT', (1144, 3138))"
"(1306, 2670)",Pilate was afraid of Jesus,Time Warner Cable is a subsidiary of Time Warner Inc.,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Pilate was afraid of Jesus  
Mention 2: Time Warner Cable is a subsidiary of Time Warner Inc.  
Answer ONLY with YES or NO.
",NO,Cannot-Link,"('CANNOT', (1306, 2670))"
"(40, 41)",Minas Anor was renamed Minas Tirith,Minas Anor will be renamed Minas Tirith,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Minas Anor was renamed Minas Tirith  
Mention 2: Minas Anor will be renamed Minas Tirith  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (40, 41))"
"(1986, 2779)",Nigeria was not created for Nigerians,DVD+RW is supported by Philips,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Nigeria was not created for Nigerians  
Mention 2: DVD+RW is supported by Philips  
Answer ONLY with YES or NO.
",NO,Cannot-Link,"('CANNOT', (1986, 2779))"
"(2942, 2944)",Paulson is the former head of Goldman Sachs,Paulson is the former CEO of Goldman Sachs,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Paulson is the former head of Goldman Sachs  
Mention 2: Paulson is the former CEO of Goldman Sachs  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (2942, 2944))"
"(11, 14)",George Gershwin was born in Brooklyn,Gershwin was born in Brooklyn,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: George Gershwin was born in Brooklyn  
Mention 2: Gershwin was born in Brooklyn  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (11, 14))"
"(986, 2269)",Palin did not run against Obama,Frankincense is also excellent for Asthma,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Palin did not run against Obama  
Mention 2: Frankincense is also excellent for Asthma  
Answer ONLY with YES or NO.
",NO,Cannot-Link,"('CANNOT', (986, 2269))"
"(476, 477)",Spring Festival is the most important festival in China,Spring Festival is a traditional festival in China,"Human: 
Determine if the following two text fragments refer to the same real-world entity. This is not about general topic similarity — focus only on whether both phrases point to the same individual, organization, location, or concept, despite possible differences in wording.

Be aware: the mentions may be short, ambiguous, or lack context. Use your knowledge and reasoning to assess identity.

Examples:

Mention 1: Joe Biden  
Mention 2: President Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Barack Obama  
Mention 2: Barack H. Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Biden  
Mention 2: Vice President under Obama  
Answer ONLY with YES or NO.  
YES

Mention 1: Barack Obama  
Mention 2: Michelle Obama  
Answer ONLY with YES or NO.  
NO

Mention 1: Google  
Mention 2: Alphabet Inc.  
Answer ONLY with YES or NO.  
NO

Mention 1: Alphabet Inc.  
Mention 2: Parent company of Google  
Answer ONLY with YES or NO.  
YES

Mention 1: NYC  
Mention 2: New York City  
Answer ONLY with YES or NO.  
YES

Mention 1: Washington  
Mention 2: George Washington  
Answer ONLY with YES or NO.  
NO

Mention 1: AI  
Mention 2: Artificial Intelligence  
Answer ONLY with YES or NO.  
YES

Mention 1: OpenAI  
Mention 2: Company behind ChatGPT  
Answer ONLY with YES or NO.  
YES

Mention 1: The UN  
Mention 2: United Nations  
Answer ONLY with YES or NO.  
YES

Mention 1: Twitter  
Mention 2: X  
Answer ONLY with YES or NO.  
YES

Mention 1: Meta  
Mention 2: Facebook  
Answer ONLY with YES or NO.  
NO

Mention 1: Meta  
Mention 2: Parent company of Facebook  
Answer ONLY with YES or NO.  
YES

Now, determine the following:

Mention 1: Spring Festival is the most important festival in China  
Mention 2: Spring Festival is a traditional festival in China  
Answer ONLY with YES or NO.
",YES,Must-Link,"('MUST', (476, 477))"
